x,y,z,r
81.1111526489,10.4985361099,0.183139353991,0.0010000000475
82.2179175491,11.0067773882,0.366278624288,0.000622083967464
83.3202204931,11.5245996748,0.549414106979,0.000710491270216
84.417930603,12.0520591736,0.732527554035,0.000694643531456
85.5110092163,12.5890722275,0.915633618832,0.000695114023983
86.5993652344,13.135602951,1.09872221947,0.000693421286996
87.6829071045,13.69161129,1.28178989887,0.000692494562827
88.7615585327,14.2570533752,1.46483314037,0.000691534776706
89.8352279663,14.8318862915,1.64784836769,0.000690281507559
90.9038467407,15.4160680771,1.83083224297,0.000791610043962
91.9673233032,16.009552002,2.01378130913,0.000764907686971
93.0255889893,16.6122951508,2.1966919899,0.000768127676565
94.0785446167,17.2242488861,2.379560709,0.000765376258642
95.126121521,17.8453674316,2.56238412857,0.000764045107644
96.1682434082,18.4756069183,2.74515867233,0.000762320589274
97.2048187256,19.1149139404,2.92788100243,0.00076064869063
98.2357788086,19.7632427216,3.11054754257,0.000758921378292
99.2610473633,20.4205436707,3.29315495491,0.000757162983064
100.280532837,21.0867671967,3.47569942474,0.000755367218517
101.294166565,21.7618618011,3.65817785263,0.000753547006753
102.301872253,22.4457759857,3.84058642387,0.000751678249797
103.303573608,23.138458252,4.02292203903,0.000749775383154
104.299194336,23.8398551941,4.20518064499,0.000747831887572
105.288650513,24.5499134064,4.38735961914,0.000745849625666
106.271873474,25.268579483,4.56945562363,0.000743869575675
107.248786926,25.995798111,4.75146341324,0.000741848314642
108.219314575,26.7315158844,4.93338155746,0.000739786424674
109.183395386,27.4756736755,5.11520528793,0.000737682392355
110.140937805,28.2282161713,5.29693126678,0.000735535984856
111.091880798,28.9890861511,5.47855710983,0.000733345805202
112.036140442,29.7582244873,5.66007804871,0.00073111394886
112.973655701,30.5355758667,5.84149122238,0.000728837389032
113.90435791,31.3210773468,6.022793293,0.000726516009309
114.828163147,32.1146697998,6.2039809227,0.000724145735149
115.745010376,32.9162979126,6.38505029678,0.000721729244106
116.654823303,33.7258911133,6.56599760056,0.000719262578059
117.557540894,34.5433959961,6.74682044983,0.000716746901161
118.453094482,35.3687477112,6.92751455307,0.000714174064342
119.341400146,36.2018814087,7.10807657242,0.000711550470441
120.222412109,37.0427360535,7.28850364685,0.000708870065864
121.096046448,37.8912467957,7.46879148483,0.000706134131179
121.962249756,38.7473487854,7.64893770218,0.000703339173925
122.82093811,39.6109771729,7.82893753052,0.00069743511267
123.672065735,40.4820671082,8.0087890625,0.000620623293798
124.515556335,41.3605499268,8.18848705292,0.0006519969902
125.351356506,42.2463607788,8.36802959442,0.000625826301984
126.179382324,43.1394309998,8.54741287231,0.000635728763882
126.999588013,44.0396957397,8.72663402557,0.000706870981957
127.811912537,44.9470787048,8.90568828583,0.000672987545841
128.616287231,45.8615188599,9.08457279205,0.000682335637976
